TimeStep, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, gyro_w
2.047982, -0.716, -0.788, -0.106, -0.247, 0.276, -0.038, -0.928
2.581315, -0.948, 1.532, -1.504, 0.298, 0.315, 0.463, -0.773
2.986644, -1.214, 2.212, -0.735, 0.465, 0.346, 0.701, -0.416
3.071995, -0.765, 0.496, -0.480, 0.461, 0.274, 0.685, -0.493
3.455986, -0.756, 0.031, -0.393, 0.433, 0.235, 0.704, -0.511
4.799977, -1.122, -1.067, -0.935, -0.256, -0.328, -0.905, 0.087
5.141315, -3.009, -0.402, -2.298, -0.220, -0.489, -0.843, -0.032
6.655986, 0.034, -0.171, 0.688, -0.239, -0.668, -0.694, 0.121
9.002653, -0.078, 0.931, 3.289, -0.315, -0.892, -0.242, -0.218
9.066644, -1.996, -0.112, -0.943, -0.564, -0.627, -0.443, -0.304
10.19732, 0.473, -0.018, 0.035, -0.081, -0.661, -0.726, -0.172
10.32533, -0.627, -0.682, -1.279, -0.292, -0.586, -0.740, 0.156
10.79465, -1.628, -0.304, -0.207, -0.489, -0.731, -0.463, -0.112
11.56265, -0.507, 0.267, 0.217, -0.067, -0.658, -0.697, -0.277
11.64798, -0.146, 1.522, 0.850, -0.206, -0.642, -0.736, -0.063
12.09599, -0.534, 2.734, 1.096, 0.648, 0.312, 0.555, -0.418
12.13866, -0.983, 3.353, -1.562, 0.657, 0.233, 0.430, -0.574
12.65066, -0.155, 2.537, -1.523, 0.826, 0.109, 0.458, -0.309
13.41866, -0.838, 2.778, -1.181, 0.624, 0.213, 0.484, -0.575
14.71998, -3.149, -0.594, -0.154, 0.638, 0.147, 0.360, -0.665
15.18932, -1.330, -0.760, 1.427, 0.135, -0.717, -0.647, 0.220
15.61599, -3.167, -0.822, 0.785, 0.124, -0.731, -0.529, 0.412
15.70131, -1.837, -0.604, -1.628, 0.012, -0.707, -0.449, 0.545
16.12798, -1.721, 0.097, 0.412, 0.088, -0.951, -0.281, 0.099
16.17066, -2.022, -0.290, 0.012, -0.074, -0.926, -0.348, 0.127
16.78932, 1.312, -0.991, 0.515, 0.043, -0.708, -0.659, 0.250
16.85331, -0.779, -0.029, -0.501, 0.061, -0.692, -0.673, 0.255
16.95998, 0.387, -0.513, -0.457, -0.073, -0.548, -0.703, 0.447
17.00265, 0.736, -0.982, 1.327, 0.010, -0.714, -0.661, 0.229
17.21599, 1.054, -0.759, 0.255, -0.033, -0.631, -0.726, 0.271
17.32265, 0.172, -0.185, -0.376, 0.070, -0.707, -0.686, 0.158
17.74932, -2.837, -0.308, -2.734, 0.054, -0.546, -0.722, 0.423
17.83465, 1.042, -0.802, 0.364, 0.033, -0.539, -0.756, 0.370
18.19732, 1.365, -0.118, 0.589, 0.158, -0.780, -0.603, -0.055
18.21866, 0.852, 0.313, 0.001, 0.092, -0.765, -0.636, -0.039
18.30399, -3.843, -1.000, -2.579, -0.058, -0.568, -0.773, 0.276
18.32533, -1.404, -0.602, -1.022, -0.049, -0.527, -0.765, 0.367
18.62399, 1.843, 0.424, -0.100, 0.026, -0.509, -0.806, 0.300
18.66664, 2.679, -0.028, 1.284, 0.082, -0.620, -0.776, 0.078
18.73066, 0.981, 1.304, -0.741, 0.074, -0.688, -0.717, -0.082
18.752, -7.058, -0.285, -2.598, -0.035, -0.604, -0.779, 0.163
18.79465, -2.236, 0.375, -1.243, -0.095, -0.549, -0.773, 0.302
18.83732, 3.616, -0.936, 1.440, -0.071, -0.580, -0.735, 0.344
18.87998, 1.005, 0.224, 0.582, 0.109, -0.723, -0.677, 0.087
18.96533, -5.629, -0.455, -2.000, -0.021, -0.601, -0.739, 0.304
18.98664, -3.335, 0.187, -0.949, -0.084, -0.545, -0.718, 0.424
19.00798, 1.786, -0.209, 0.243, 0.011, -0.637, -0.695, 0.333
19.09331, 1.789, 0.349, 0.191, 0.162, -0.706, -0.683, 0.097
19.13599, -0.830, -0.044, -1.031, 0.113, -0.693, -0.700, 0.130
19.15732, -4.255, -1.177, -1.616, 0.002, -0.625, -0.729, 0.280
19.26399, 0.835, 0.015, 0.740, 0.076, -0.608, -0.720, 0.326
19.62664, -1.744, 0.321, 1.378, 0.138, -0.726, -0.657, 0.151
19.64798, -6.299, -1.755, -1.721, 0.048, -0.725, -0.641, 0.249
19.69066, -0.724, -1.348, -0.670, -0.127, -0.670, -0.616, 0.394
19.98932, 1.744, -0.949, 0.133, 0.129, -0.670, -0.683, 0.259
20.09599, -3.601, -0.473, -2.143, -0.085, -0.662, -0.615, 0.419
20.11732, -0.425, 0.032, -1.277, -0.055, -0.589, -0.680, 0.433
20.45866, -4.038, -0.715, 2.795, 0.242, -0.586, -0.767, -0.093
20.52265, -6.081, -1.258, 0.090, 0.046, -0.701, -0.689, 0.180
20.56533, -0.354, 1.735, -2.756, -0.063, -0.624, -0.711, 0.319
20.672, -0.040, -2.864, 0.234, 0.370, 0.573, 0.470, -0.560
20.73599, -0.580, 5.447, -0.928, 0.445, 0.455, 0.381, -0.670
20.75732, -0.075, 3.203, -2.025, 0.464, 0.383, 0.299, -0.741
20.84265, -0.530, -3.490, 1.286, 0.446, 0.504, 0.382, -0.633
20.86399, 0.215, -1.780, 0.313, 0.435, 0.547, 0.433, -0.569
20.90664, 0.554, 0.326, -0.689, 0.437, 0.466, 0.377, -0.670
20.92798, 0.030, 4.160, -1.277, 0.437, 0.401, 0.324, -0.737
20.99199, 0.260, -0.865, -0.965, 0.446, 0.347, 0.219, -0.796
21.03465, -0.060, -1.606, 0.325, 0.371, 0.493, 0.370, -0.694
21.31199, -0.924, -0.896, -0.025, 0.292, 0.564, 0.359, -0.683
21.33331, -1.681, 0.301, 1.201, 0.337, 0.584, 0.320, -0.666
21.43998, -1.047, 0.157, -1.082, 0.474, 0.481, 0.207, -0.708
21.75998, -1.082, 0.688, 1.282, 0.475, 0.528, 0.380, -0.592
21.80265, -0.260, 3.827, -1.087, 0.533, 0.454, 0.296, -0.650
21.84533, 0.226, 2.489, -1.607, 0.493, 0.337, 0.271, -0.755
22.14399, -1.914, -0.182, 0.628, 0.026, -0.621, -0.769, 0.146
22.18664, -6.619, -0.916, -1.103, -0.079, -0.578, -0.733, 0.348
22.20798, -1.061, -0.003, -1.835, -0.157, -0.549, -0.727, 0.381
22.22932, 0.698, 0.488, -0.155, -0.044, -0.574, -0.772, 0.269
22.33599, 2.825, -0.061, -1.148, 0.135, -0.648, -0.747, -0.067
22.39998, -5.626, -1.012, 0.997, 0.064, -0.666, -0.743, 0.008
22.46399, 0.546, -0.383, -2.065, -0.063, -0.619, -0.751, 0.222
22.82664, 0.095, -0.780, 0.227, 0.051, -0.689, -0.499, 0.523
23.59465, 0.016, -0.377, 0.797, 0.320, -0.820, -0.405, 0.247
23.95732, -1.286, 0.408, 2.441, 0.246, -0.952, -0.145, 0.113
24.27732, -0.543, 0.141, 0.943, 0.039, -0.880, -0.414, 0.231
24.31998, 0.566, 0.240, -1.056, 0.143, -0.693, -0.690, 0.152
28.47998, -2.751, -0.654, 1.418, 0.090, -0.697, -0.650, 0.288
28.56533, -1.230, -0.811, -0.048, -0.039, -0.657, -0.586, 0.473
28.84265, -0.376, 0.468, 0.668, 0.252, -0.607, -0.752, 0.056
28.88533, -4.241, -0.515, 1.121, 0.149, -0.674, -0.697, 0.191
28.90664, -3.532, -0.855, -1.842, 0.033, -0.676, -0.610, 0.411
29.37599, -2.348, -0.566, -0.149, -0.003, -0.933, -0.339, 0.123
29.39732, -1.285, -0.887, 0.322, -0.059, -0.921, -0.362, 0.130
29.71733, -1.270, -1.297, 1.456, -0.006, -0.893, -0.408, 0.189
29.75998, -0.438, -0.626, 0.246, 0.081, -0.823, -0.477, 0.297
30.14399, -1.891, -0.919, 1.856, 0.215, -0.677, -0.696, 0.105
30.44265, 0.293, 0.116, -0.242, 0.217, -0.615, -0.753, 0.095
30.52798, -4.056, -1.019, -0.638, 0.086, -0.723, -0.609, 0.315
