TimeStep, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, gyro_w
1.898662, -0.460, 0.079, -1.693, -0.325, 0.009, -0.104, -0.940
2.154649, 1.160, 0.695, 2.435, 0.753, 0.023, -0.008, 0.658
2.197324, -1.196, 3.142, -0.484, -0.680, -0.009, -0.054, -0.731
2.239977, -2.413, 0.432, -4.557, -0.606, 0.027, -0.095, -0.790
2.282653, -1.656, -0.177, -2.494, -0.371, 0.184, -0.117, -0.902
2.303991, -1.162, -0.534, -2.805, -0.255, 0.210, -0.132, -0.935
2.965329, 2.401, 1.122, 0.911, 0.572, 0.249, -0.291, 0.725
3.007982, 0.771, 2.257, 0.301, 0.540, 0.224, -0.128, 0.801
3.02932, -2.962, 0.948, -2.613, -0.445, -0.078, -0.045, -0.891
3.071995, -2.054, -0.489, -0.567, -0.412, 0.037, -0.081, -0.907
4.330657, -0.644, 1.428, 0.500, 0.664, -0.042, -0.013, 0.746
4.351995, -1.264, 0.864, -1.907, -0.517, 0.145, -0.017, -0.843
4.415987, -1.930, -0.472, -2.853, -0.279, 0.294, -0.060, -0.912
4.607982, 0.830, -0.119, 1.348, 0.487, -0.150, -0.072, 0.858
4.650658, 1.215, -0.540, 2.272, 0.570, -0.137, -0.096, 0.805
4.714649, 0.706, 0.708, 1.286, 0.573, -0.125, -0.105, 0.803
4.735986, -1.747, 1.039, -3.514, 0.461, -0.134, -0.074, 0.874
4.94932, 0.702, 0.263, 0.202, 0.384, -0.070, -0.132, 0.911
5.119977, -0.230, 1.065, -0.056, 0.574, -0.094, -0.153, 0.799
5.354649, 0.094, 0.163, -0.642, 0.343, -0.026, -0.128, 0.930
5.439977, 0.616, -0.330, 1.764, 0.566, -0.118, -0.141, 0.804
5.503991, 0.600, 0.326, 1.398, 0.609, -0.094, -0.124, 0.778
5.525329, -0.587, 1.213, -0.457, 0.531, -0.095, -0.093, 0.837
5.610658, -1.351, -0.382, -3.778, 0.268, -0.129, -0.047, 0.953
6.037324, -0.465, 0.485, -2.865, 0.433, -0.079, -0.170, 0.881
6.079978, -1.935, -0.682, -5.067, 0.273, -0.068, -0.134, 0.950
6.143991, 0.682, -0.022, 0.017, 0.265, -0.068, -0.131, 0.953
6.207982, 0.649, -0.708, 2.203, 0.389, -0.120, -0.150, 0.901
6.250658, -0.647, -0.174, -2.372, 0.413, -0.118, -0.140, 0.892
6.271996, -1.869, -0.581, -4.304, 0.361, -0.111, -0.116, 0.919
6.314649, -1.311, -0.099, -2.361, 0.257, -0.157, -0.106, 0.948
6.378662, 0.813, -0.490, 3.153, 0.419, -0.128, -0.119, 0.891
6.421315, -1.169, 0.385, -0.889, 0.447, -0.134, -0.094, 0.880
6.442653, -1.911, -0.113, -4.337, 0.313, -0.183, -0.092, 0.927
6.506644, -0.209, -0.414, -0.999, 0.247, -0.181, -0.099, 0.947
6.54932, 0.664, 0.236, 0.512, 0.336, -0.156, -0.102, 0.923
6.698662, -0.950, -0.661, -3.933, 0.320, -0.193, -0.069, 0.925
6.741315, 0.184, -0.308, -1.266, 0.292, -0.163, -0.080, 0.939
6.783991, 0.550, 0.306, -0.571, 0.341, -0.143, -0.079, 0.926
6.890657, -1.276, 0.217, 0.692, 0.583, -0.116, -0.046, 0.803
6.954648, -1.863, -0.837, -5.827, 0.364, -0.222, -0.037, 0.904
6.997324, 0.388, 0.115, 0.247, 0.306, -0.180, -0.050, 0.934
7.167982, -1.551, -0.773, -4.966, 0.415, -0.166, -0.043, 0.893
7.295986, 0.649, 0.217, 1.488, 0.379, -0.173, -0.086, 0.905
7.402653, -0.264, -0.054, -0.452, 0.481, -0.123, -0.081, 0.864
7.807982, 0.477, -0.733, -0.492, -0.209, -0.125, -0.017, -0.970
8.426644, 4.038, 0.312, -1.814, 0.188, 0.014, -0.073, 0.979
8.469319, 1.490, -0.069, -1.305, 0.164, 0.137, -0.366, 0.906
8.639977, 1.006, -0.176, -0.077, 0.324, 0.213, -0.514, 0.765
9.002653, -2.162, 1.874, -1.885, -0.162, 0.082, -0.405, -0.896
9.023991, -1.331, 1.092, -1.312, -0.135, 0.043, -0.512, -0.847
9.237325, 2.271, 2.043, -0.367, -0.187, -0.024, -0.152, -0.970
9.258662, 3.599, 0.877, -0.825, 0.197, 0.082, -0.099, 0.972
9.322653, 3.009, -1.087, -1.204, 0.189, 0.160, -0.323, 0.913
9.343991, 1.254, -0.302, -0.628, 0.199, 0.187, -0.378, 0.885
17.32265, 0.070, 0.679, -1.525, -0.140, 0.150, -0.322, 0.924
18.34664, 0.035, 1.118, 0.305, -0.073, 0.067, -0.008, -0.995
18.36798, 1.430, 0.796, 2.985, 0.201, -0.097, -0.004, 0.975
18.47465, -0.924, 0.906, -0.992, -0.259, 0.102, -0.017, -0.960
19.19998, 0.687, 0.617, 1.810, 0.374, -0.053, -0.044, 0.925
19.26399, -0.427, 1.030, -0.340, -0.308, 0.062, -0.004, -0.949
19.26399, -0.797, 0.716, -2.918, -0.169, 0.080, -0.052, -0.981
19.56265, 0.724, -0.059, 1.264, -0.285, 0.017, -0.003, -0.958
19.69066, 0.208, 0.335, 0.529, 0.317, -0.066, -0.013, 0.946
20.01066, 0.257, 0.087, 0.304, -0.146, 0.012, -0.013, -0.989
20.30932, -1.091, 0.644, -1.731, -0.131, 0.099, -0.013, -0.986
20.33066, -1.898, -0.047, -2.726, -0.096, 0.078, -0.063, -0.990
20.43732, -0.492, 0.763, -1.627, -0.001, 0.040, -0.077, -0.996
20.47998, 3.788, 0.401, -0.968, 0.041, -0.143, -0.017, 0.989
21.03465, -0.024, -0.443, 0.304, -0.112, -0.116, -0.053, -0.986
21.31199, 0.649, -0.695, -1.737, -0.151, -0.051, -0.041, -0.986
21.33331, -0.408, -0.114, -1.293, -0.139, 0.251, -0.005, -0.958
21.41866, -0.029, -0.546, -0.610, -0.148, -0.109, -0.097, -0.978
21.46132, -0.060, -0.116, -1.023, 0.137, -0.305, -0.031, 0.942
21.52533, 0.148, -0.659, -1.549, -0.177, -0.076, -0.045, -0.980
21.61066, -0.302, -0.183, -0.426, 0.157, -0.333, -0.039, 0.929
21.67465, -0.261, -0.604, -1.539, -0.182, -0.122, -0.081, -0.972
21.69599, 0.916, -0.242, -1.911, 0.156, -0.320, -0.041, 0.933
21.952, -0.082, -0.603, -1.406, -0.197, 0.024, -0.026, -0.980
22.14399, -2.080, 0.014, -1.755, 0.112, -0.347, -0.102, 0.926
22.37866, 0.607, -0.063, -0.845, 0.155, -0.204, -0.283, 0.924
22.50664, 0.718, 0.317, -0.810, 0.174, -0.182, -0.228, 0.940
22.69866, -1.760, 0.976, -2.058, -0.056, -0.065, -0.014, -0.996
22.74132, -0.426, 1.423, -1.536, 0.086, -0.018, -0.103, 0.991
23.08265, 1.796, 1.145, 1.239, 0.422, -0.098, -0.663, 0.611
23.12533, -1.771, -0.405, -1.872, 0.375, -0.082, -0.477, 0.790
23.70131, 1.534, 0.418, -0.594, 0.052, -0.250, -0.464, 0.848
23.74399, 0.952, -0.034, 0.654, 0.169, -0.203, -0.503, 0.823
24.21331, 3.472, -0.224, 0.430, 0.366, 0.027, -0.609, 0.703
24.27732, 1.011, 1.826, 1.214, 0.360, -0.017, -0.582, 0.729
24.29866, -1.318, 1.372, -2.734, 0.308, -0.005, -0.447, 0.840
25.06664, 0.493, 0.567, -0.890, 0.179, -0.051, -0.322, 0.928
25.19465, 0.730, 1.008, 2.037, 0.441, -0.207, -0.455, 0.745
25.23732, -0.128, 1.764, -0.451, 0.294, -0.239, -0.474, 0.795
25.27998, -0.690, 0.225, -3.430, 0.180, -0.209, -0.473, 0.836
28.88533, 0.540, -0.658, -0.792, -0.361, -0.036, -0.004, -0.932
29.05599, 0.662, 0.137, -0.591, -0.281, -0.180, -0.165, -0.928
29.33331, -0.684, 1.162, -0.035, -0.337, -0.126, -0.826, -0.433
29.43998, 2.981, -0.464, -2.478, -0.342, -0.160, -0.347, -0.859
29.50399, 1.615, 0.029, -2.391, -0.109, -0.015, -0.148, -0.983
29.54664, 0.602, 0.587, -0.859, -0.168, -0.058, -0.238, -0.955
29.67465, -0.446, 1.332, -1.296, -0.417, -0.167, -0.683, -0.576
29.80265, 2.445, -0.123, -0.755, -0.117, -0.087, -0.142, -0.979
29.84533, 1.593, -0.830, -1.625, -0.101, -0.070, -0.062, -0.991
30.57066, 3.297, -1.017, -0.921, 0.100, 0.299, -0.151, 0.937
30.61331, 3.787, -0.335, -2.100, 0.100, 0.326, -0.137, 0.930
30.63465, 3.004, 0.620, -0.795, 0.129, 0.369, -0.004, 0.920
30.67732, 2.324, 1.322, -0.007, -0.196, -0.326, -0.172, -0.909
31.16798, -2.339, 1.738, -1.424, -0.286, 0.003, -0.708, -0.646
31.18932, -3.237, 2.697, -1.915, -0.280, 0.065, -0.726, -0.625
31.25331, -0.632, 3.039, -0.655, -0.304, 0.100, -0.636, -0.703
31.27465, 1.015, 4.170, -0.102, -0.345, 0.063, -0.413, -0.840
31.29599, 5.251, 2.700, 0.227, -0.363, -0.024, -0.098, -0.926
31.89331, 2.828, -0.764, 1.567, 0.511, 0.184, -0.559, 0.626
31.97866, 3.009, -0.726, 1.638, 0.506, 0.146, -0.627, 0.573
32.04265, 1.897, 2.602, -0.397, 0.475, 0.131, -0.510, 0.705
32.10664, -0.600, 1.735, -1.717, -0.328, -0.059, -0.013, -0.943
41.94131, -0.720, 2.056, -1.246, -0.288, 0.150, -0.241, -0.915
42.02665, -0.680, 1.681, 0.097, -0.233, 0.143, -0.459, -0.845
42.15465, 3.308, -0.422, -0.193, 0.296, -0.018, -0.118, 0.948
42.19732, 1.154, -0.368, -1.482, 0.147, 0.143, -0.304, 0.930
42.70932, -1.360, 1.179, 0.726, -0.486, -0.066, -0.439, -0.753
42.77331, -4.137, 2.116, -0.402, -0.474, 0.106, -0.524, -0.700
42.79465, -1.813, 1.496, 0.299, -0.408, 0.210, -0.445, -0.769
45.37599, 0.157, 0.415, 0.626, -0.389, 0.676, -0.015, -0.626
45.50399, -2.172, 1.024, 0.919, -0.209, 0.809, -0.294, -0.464
45.67465, 0.004, 1.845, 1.215, 0.588, -0.224, -0.076, 0.773
45.71732, -2.270, 2.388, 1.560, -0.473, 0.479, -0.050, -0.738
45.73866, -3.674, 0.544, 0.867, -0.367, 0.621, -0.111, -0.683
45.86665, 0.666, -0.619, 0.442, -0.367, 0.568, -0.049, -0.735
45.99465, 0.624, 1.428, 1.202, 0.495, -0.352, -0.033, 0.793
46.03732, -3.266, 1.798, 2.006, -0.358, 0.611, -0.067, -0.703
46.05866, -3.852, 0.560, 0.445, -0.135, 0.798, -0.163, -0.565
46.10131, -1.703, 1.302, -0.116, -0.074, 0.819, -0.129, -0.554
46.20798, 3.495, -1.112, -0.284, 0.490, -0.355, -0.089, 0.791
46.22932, 2.345, 0.177, 0.745, 0.559, -0.228, -0.157, 0.781
46.272, 0.286, 1.197, 1.470, 0.517, -0.367, -0.082, 0.769
46.33599, -3.446, 0.325, -0.054, -0.242, 0.709, -0.068, -0.658
46.39998, -1.865, 0.826, 0.253, 0.146, -0.701, -0.009, 0.698
46.50665, 3.763, 0.220, 0.410, 0.577, -0.199, -0.166, 0.775
46.52798, -1.702, 2.782, 1.834, 0.529, -0.347, -0.109, 0.767
46.57066, -3.354, 1.662, 2.279, 0.459, -0.493, -0.021, 0.739
46.63465, -4.473, 0.093, 0.213, -0.251, 0.729, -0.113, -0.627
46.63465, -1.552, 0.992, -1.065, -0.169, 0.757, -0.080, -0.626
46.71998, 3.308, -1.403, 1.109, 0.425, -0.484, -0.049, 0.764
46.78399, 0.570, 1.691, 0.835, 0.612, -0.261, -0.143, 0.733
46.80533, -2.807, 1.307, 2.013, 0.502, -0.484, -0.025, 0.716
46.84798, -3.790, 0.010, 0.273, -0.305, 0.713, -0.083, -0.626
46.91199, -1.526, 0.616, -0.184, -0.204, 0.741, -0.025, -0.639
46.99733, 3.526, -0.436, 0.085, 0.605, -0.166, -0.125, 0.769
47.03998, 1.701, 0.693, 0.494, 0.594, -0.181, -0.140, 0.771
47.06131, -2.512, 1.283, 1.534, 0.550, -0.309, -0.081, 0.772
47.10399, -2.872, -0.285, 0.776, -0.404, 0.585, -0.039, -0.702
47.59465, -0.882, 0.606, 0.992, 0.627, -0.141, -0.083, 0.762
47.67998, -2.769, -0.274, 0.483, -0.427, 0.604, -0.021, -0.673
47.87199, -2.338, 1.062, 1.345, 0.604, -0.313, -0.098, 0.726
47.93599, -2.217, -0.267, -0.430, -0.345, 0.709, -0.035, -0.614
48.02132, -0.690, -0.586, 0.802, 0.409, -0.611, -0.028, 0.677
48.14932, -0.884, 0.172, 0.403, 0.522, -0.393, -0.102, 0.750
48.21331, -2.030, 0.140, -0.377, -0.382, 0.652, -0.024, -0.655
48.27732, 1.108, -0.485, 0.775, 0.559, -0.398, -0.029, 0.727
48.46932, -0.486, -0.672, -0.040, -0.738, 0.109, -0.173, -0.643
48.68265, -3.281, -0.427, -0.695, -0.732, 0.403, -0.304, -0.457
48.74664, 0.682, 0.472, 1.460, -0.717, 0.390, -0.305, -0.491
48.81066, -1.170, -1.012, 0.585, -0.770, 0.286, -0.340, -0.458
48.832, -0.863, -0.216, -0.997, -0.732, 0.384, -0.316, -0.466
48.91732, -0.388, 0.200, 2.364, -0.736, 0.405, -0.331, -0.429
48.93866, -1.861, -0.614, -0.852, -0.745, 0.367, -0.354, -0.431
49.32265, -1.190, -1.133, 0.136, -0.715, 0.366, -0.316, -0.505
49.34399, -1.705, -0.770, -0.916, -0.701, 0.383, -0.315, -0.513
49.36533, -0.498, 0.055, 1.316, -0.690, 0.402, -0.308, -0.518
49.42932, -2.039, -0.668, -0.478, -0.707, 0.360, -0.344, -0.502
49.55732, -3.412, -0.303, -0.591, -0.718, 0.351, -0.344, -0.492
49.70664, -3.512, -0.250, -0.343, -0.699, 0.340, -0.330, -0.535
49.77066, 0.629, 0.459, 0.778, -0.670, 0.386, -0.263, -0.577
49.91998, -0.361, -0.879, -1.907, -0.547, 0.269, -0.250, -0.752
50.47465, 0.672, -0.873, -0.511, -0.469, -0.134, -0.238, -0.840
50.752, -0.595, 1.800, -1.892, -0.332, 0.155, -0.851, -0.375
50.81599, -0.703, 1.589, -0.519, -0.368, 0.175, -0.840, -0.358
50.83733, -0.386, 1.082, -0.057, -0.457, 0.133, -0.779, -0.407
50.87998, 0.595, -2.256, 1.078, -0.507, 0.106, -0.730, -0.445
51.24265, -1.326, 1.492, -0.212, -0.492, 0.291, -0.747, -0.341
56.31998, -1.880, 1.264, -0.110, -0.530, 0.071, -0.710, -0.457
75.15733, 0.453, 0.509, -3.515, 0.225, -0.191, -0.615, 0.731
75.60533, -0.620, 1.028, -1.319, 0.373, -0.316, -0.322, 0.811
75.66932, -1.445, 0.387, -3.861, 0.146, -0.254, -0.425, 0.856
75.712, -0.875, 0.035, -1.782, 0.045, -0.210, -0.428, 0.878
104.9387, 1.921, 0.728, 2.073, 0.680, -0.283, -0.403, 0.543
104.9813, 0.152, 1.512, -1.052, 0.638, -0.268, -0.354, 0.630
105.024, -2.157, -0.284, -3.657, 0.400, -0.238, -0.252, 0.848
105.8133, -0.310, -0.174, -2.565, 0.371, -0.414, -0.213, 0.803
